film_id,title,category,number_of_times_rented
814,Snatch Slipper,Comedy,22
729,Rider Caddyshack,Sports,11
645,Others Soup,Travel,23
223,Desire Alien,Animation,8
687,Pocus Pulp,Documentary,26
409,Heartbreakers Bright,Children,20
480,Jeepers Wedding,Classics,16
878,Teen Apollo,Travel,17
882,Tenenbaums Command,Drama,13
863,Sun Confessions,Sci-Fi,25
763,Satisfaction Confidential,Sports,17
963,Watch Tracy,Animation,16
269,Earring Instinct,Family,19
884,Terminator Club,Music,6
457,Independence Hotel,Documentary,19
292,Excitement Eve,Action,21
938,Velvet Terminator,Comedy,26
510,Lawless Vision,Animation,17
152,Circus Youth,Children,15
626,Noon Papi,Children,17
277,Elephant Trojan,Horror,14
615,Nash Chocolat,Animation,15
798,Silverado Goldfinger,Sci-Fi,12
448,Idaho Love,New,17
407,Hawk Chill,Documentary,7
751,Runaway Tenenbaums,New,8
990,World Leathernecks,Horror,8
870,Swarm Gold,Horror,27
187,Cranes Reservoir,Sports,11
360,Glass Dying,Action,14
434,Horror Reign,Travel,27
619,Neighbors Charade,Sports,19
788,Ship Wonderland,Documentary,15
564,Massage Image,Animation,12
983,Won Dares,Music,9
707,Quest Mussolini,Action,20
507,Ladybugs Armageddon,Games,6
831,Spirited Casualties,Sci-Fi,11
233,Disciple Mother,Travel,19
736,Robbery Bright,Family,13
793,Shrunk Divine,Action,14
462,Insider Arizona,Music,20
283,Ending Crowds,New,11
811,Smile Earring,Travel,10
927,Uprising Uptown,Action,16
767,Scalawag Duck,Music,32
219,Deep Crusade,Documentary,14
563,Massacre Usual,Games,30
256,Drop Waterfront,Sports,9
600,Motions Details,Horror,16
726,Reservoir Adaptation,Foreign,10
453,Image Princess,Sports,14
906,Tramp Others,Comedy,20
130,Celebrity Horn,Action,24
199,Cupboard Sinners,Documentary,23
625,None Spiking,Sci-Fi,27
794,Side Ark,Action,12
923,Unfaithful Kill,Drama,8
286,Enough Raging,Travel,18
150,Cider Desire,Documentary,19
872,Sweet Brotherhood,Travel,15
126,Casualties Encino,Action,9
218,Deceiver Betrayed,Drama,21
134,Champion Flatliners,Animation,13
278,Elf Murder,Music,7
488,Joon Northwest,Sports,17
661,Past Suicides,Foreign,13
430,Hook Chariots,Animation,13
844,Steers Armageddon,Sports,15
99,Bringing Hysterical,Comedy,20
253,Drifter Commandments,Action,24
673,Personal Ladybugs,Music,14
823,South Wait,Action,22
438,Human Graffiti,Games,15
384,Grosse Wonderful,Music,8
841,Star Operation,Sports,21
548,Magnificent Chitty,Classics,8
406,Haunting Pianist,Games,22
228,Detective Vision,Classics,27
412,Heavyweights Beast,Documentary,23
560,Mars Roman,Games,19
576,Mighty Luck,Documentary,12
875,Talented Homicide,Sports,29
986,Wonka Sea,Animation,18
436,Hours Rage,New,19
204,Dalmations Sweden,Drama,20
149,Christmas Moonshine,Children,21
632,Nuts Ties,New,9
585,Mob Duffel,Drama,12
90,Boulevard Mob,New,18
540,Lucky Flying,Music,13
705,Purple Movie,Foreign,13
876,Tarzan Videotape,Horror,8
88,Born Spinal,Travel,12
29,Antitrust Tomatoes,Action,10
