film_id,title,recommendation degree for customer 1
317,Fireball Philadelphia,14
663,Patient Sister,12
228,Detective Vision,11
687,Pocus Pulp,10
735,Robbers Joon,10
285,English Bulworth,9
579,Minds Truman,9
127,Cat Coneheads,9
767,Scalawag Duck,9
911,Trip Newton,9
846,Sting Personal,8
460,Innocent Usual,8
786,Shepherd Midsummer,8
294,Expecations Natural,8
893,Titans Jerk,8
875,Talented Homicide,8
408,Head Stranger,8
174,Confidential Interview,8
44,Attacks Hate,8
652,Pajama Jawbreaker,8
433,Horn Working,8
200,Curtain Videotape,8
330,Forrester Comancheros,8
201,Cyclone Family,8
366,Goldfinger Sensibility,7
361,Gleaming Jawbreaker,7
611,Musketeers Wait,7
796,Sierra Divide,7
972,Whisperer Giant,7
850,Story Side,7
941,Videotape Arsenic,7
869,Suspects Quills,7
416,Highball Potter,7
608,Murder Antitrust,7
599,Mother Oleander,7
388,Gunfight Moon,7
382,Grit Clockwork,7
814,Snatch Slipper,7
902,Trading Pinocchio,7
539,Luck Opus,7
414,Hellfighters Sierra,7
403,Harry Idaho,7
245,Double Wrath,7
861,Suit Walls,7
559,Married Go,7
468,Invasion Cyclone,7
730,Ridgemont Submarine,7
341,Frost Head,7
518,Liaisons Sweet,7
586,Mockingbird Hollywood,7
803,Slacker Liaisons,7
3,Adaptation Holes,7
789,Shock Cabin,7
732,Rings Heartbreakers,7
964,Waterfront Deliverance,7
328,Forever Candidate,6
890,Tights Dawn,6
378,Greatest North,6
825,Speakeasy Date,6
551,Maiden Home,6
549,Magnolia Forrester,6
951,Voyage Legally,6
572,Metropolis Coma,6
392,Hall Cassidy,6
856,Streetcar Intentions,6
637,Open African,6
70,Bikini Borrowers,6
123,Casablanca Super,6
738,Rocketeer Mother,6
560,Mars Roman,6
348,Gandhi Kwai,6
158,Clones Pinocchio,6
900,Town Ark,6
351,Gaslight Crusade,6
222,Desert Poseidon,6
204,Dalmations Sweden,6
554,Malkovich Pet,6
563,Massacre Usual,6
609,Muscle Bright,6
870,Swarm Gold,6
437,House Dynamite,6
258,Drums Dynamite,6
305,Fatal Haunted,6
308,Ferris Mother,6
444,Hustler Party,6
301,Family Sweet,6
753,Rush Goodfellas,6
413,Hedwig Alter,6
18,Alter Victory,6
374,Graffiti Love,6
358,Gilmore Boiled,6
135,Chance Resurrection,6
764,Saturday Lambs,6
766,Savannah Town,6
973,Wife Turn,6
34,Arabia Dogma,6
331,Forward Temple,6
191,Crooked Frogmen,6
365,Gold River,6
621,Network Peak,6
16,Alley Evolution,6
723,Reign Gentlemen,6
704,Pure Runner,6
603,Movie Shakespeare,5
654,Panky Submarine,5
526,Lock Rear,5
744,Roots Remember,5
887,Thief Pelican,5
165,Coldblooded Darling,5
307,Fellowship Autumn,5
167,Coma Head,5
21,American Circus,5
59,Bear Graceland,5
864,Sundance Invasion,5
288,Escape Metropolis,5
581,Minority Kiss,5
391,Half Outfield,5
785,Shawshank Bubble,5
982,Women Dorado,5
73,Bingo Talented,5
117,Candles Grapes,5
282,Encounters Curtain,5
112,Calendar Gunfight,5
31,Apache Divine,5
562,Masked Bubble,5
841,Star Operation,5
83,Blues Instinct,5
99,Bringing Hysterical,5
625,None Spiking,5
502,Knock Warlock,5
320,Flamingos Connecticut,5
871,Sweden Shining,5
220,Deer Virginian,5
705,Purple Movie,5
664,Patriot Roman,5
309,Feud Frogmen,5
143,Chill Luck,5
292,Excitement Eve,5
37,Arizona Bang,5
600,Motions Details,5
709,Racer Egg,5
564,Massage Image,5
420,Holes Brannigan,5
535,Love Suicides,5
553,Maker Gables,5
442,Hunting Musketeers,5
783,Shane Darkness,5
244,Dorado Notting,5
981,Wolves Desire,5
67,Berets Agent,5
181,Contact Anonymous,5
790,Shootist Superfly,5
215,Dawn Pond,5
229,Devil Desire,5
484,Jerk Paycheck,5
377,Grease Youth,5
209,Darkness War,5
892,Titanic Boondock,5
11,Alamo Videotape,5
270,Earth Vision,5
760,Samurai Lion,5
334,Freddy Storm,5
741,Roman Punk,5
768,Scarface Bang,5
746,Rouge Squad,5
858,Submarine Bed,5
720,Redemption Comforts,5
698,Princess Giant,5
622,Newsies Story,5
114,Camelot Vacation,5
164,Coast Rainbow,5
205,Dances None,5
771,Scorpion Apollo,5
159,Closer Bang,5
715,Range Moonwalker,5
810,Slums Duck,5
387,Gun Bonnie,5
154,Clash Freddy,5
345,Gables Metropolis,5
109,Butterfly Chocolat,4
573,Microcosmos Paradise,4
552,Majestic Floats,4
490,Jumanji Blade,4
851,Straight Hours,4
40,Army Flintstones,4
843,Steel Santa,4
773,Seabiscuit Punk,4
775,Seattle Expecations,4
728,Reunion Witches,4
120,Caribbean Liberty,4
247,Downhill Enough,4
234,Disturbing Scarface,4
590,Money Harold,4
85,Bonnie Holocaust,4
383,Groove Fiction,4
249,Dracula Crystal,4
284,Enemy Odds,4
193,Crossroads Casualties,4
531,Lose Inch,4
322,Flatliners Killer,4
682,Pittsburgh Hunchback,4
743,Room Roman,4
300,Falcon Volume,4
962,Wasteland Divine,4
42,Artist Coldblooded,4
447,Ice Crossing,4
756,Saddle Antitrust,4
385,Groundhog Uncut,4
583,Mission Zoolander,4
333,Freaky Pocus,4
791,Show Lord,4
443,Hurricane Affair,4
105,Bull Shawshank,4
253,Drifter Commandments,4
842,State Wasteland,4
661,Past Suicides,4
286,Enough Raging,4
86,Boogie Amelie,4
505,Labyrinth League,4
901,Tracy Cider,4
638,Operation Operation,4
966,Wedding Apollo,4
465,Interview Liaisons,4
116,Candidate Perdition,4
349,Gangs Pride,4
648,Outlaw Hanky,4
448,Idaho Love,4
976,Wind Phantom,4
798,Silverado Goldfinger,4
510,Lawless Vision,4
626,Noon Papi,4
755,Sabrina Midnight,4
153,Citizen Shrek,4
863,Sun Confessions,4
763,Satisfaction Confidential,4
467,Intrigue Worst,4
409,Heartbreakers Bright,4
889,Ties Hunger,4
