actor_id,actor_name,degree of separation from Penelope Guiness
1,Penelope Guiness,0
2,Nick Wahlberg,2
3,Ed Chase,2
4,Jennifer Davis,1
5,Johnny Lollobrigida,2
6,Bette Nicholson,1
7,Grace Mostel,1
8,Matthew Johansson,2
9,Joe Swank,2
10,Christian Gable,1
11,Zero Cage,2
12,Karl Berry,1
13,Uma Wood,1
14,Vivien Bergen,1
15,Cuba Olivier,1
16,Fred Costner,1
17,Helen Voight,2
18,Dan Torn,2
19,Bob Fawcett,2
20,Lucille Tracy,1
21,Kirsten Paltrow,2
22,Elvis Marx,1
23,Sandra Kilmer,2
24,Cameron Streep,1
25,Kevin Bloom,2
26,Rip Crawford,1
27,Julia Mcqueen,2
28,Woody Hoffman,2
29,Alec Wayne,2
30,Sandra Peck,1
31,Sissy Sobieski,2
32,Tim Hackman,1
33,Milla Peck,2
34,Audrey Olivier,1
35,Judy Dean,2
36,Burt Dukakis,1
37,Val Bolger,1
38,Tom Mckellen,2
39,Goldie Brody,2
40,Johnny Cage,1
41,Jodie Degeneres,2
42,Tom Miranda,2
43,Kirk Jovovich,1
44,Nick Stallone,2
45,Reese Kilmer,2
46,Parker Goldberg,1
47,Julia Barrymore,1
48,Frances Day-Lewis,1
49,Anne Cronyn,1
50,Natalie Hopkins,2
51,Gary Phoenix,2
52,Carmen Hunt,2
53,Mena Temple,1
54,Penelope Pinkett,1
55,Fay Kilmer,2
56,Dan Harris,2
57,Jude Cruise,1
58,Christian Akroyd,1
59,Dustin Tautou,1
60,Henry Berry,2
61,Christian Neeson,1
62,Jayne Neeson,2
63,Cameron Wray,2
64,Ray Johansson,1
65,Angela Hudson,1
66,Mary Tandy,1
67,Jessica Bailey,2
68,Rip Winslet,2
69,Kenneth Paltrow,2
70,Michelle Mcconaughey,2
71,Adam Grant,2
72,Sean Williams,2
73,Gary Penn,2
74,Milla Keitel,2
75,Burt Posey,2
76,Angelina Astaire,2
77,Cary Mcconaughey,1
78,Groucho Sinatra,2
79,Mae Hoffman,2
80,Ralph Cruz,2
81,Scarlett Damon,2
82,Woody Jolie,2
83,Ben Willis,2
84,James Pitt,2
85,Minnie Zellweger,2
86,Greg Chaplin,2
87,Spencer Peck,2
88,Kenneth Pesci,2
89,Charlize Dench,1
90,Sean Guiness,2
91,Christopher Berry,1
92,Kirsten Akroyd,2
93,Ellen Presley,2
94,Kenneth Torn,2
95,Daryl Wahlberg,2
96,Gene Willis,1
97,Meg Hawke,2
98,Chris Bridges,2
99,Jim Mostel,2
100,Spencer Depp,2
101,Susan Davis,1
102,Walter Torn,1
103,Matthew Leigh,2
104,Penelope Cronyn,1
105,Sidney Crowe,2
106,Groucho Dunst,1
107,Gina Degeneres,1
108,Warren Nolte,1
109,Sylvester Dern,2
110,Susan Davis,2
111,Cameron Zellweger,2
112,Russell Bacall,2
113,Morgan Hopkins,2
114,Morgan Mcdormand,2
115,Harrison Bale,1
116,Dan Streep,1
117,Renee Tracy,2
118,Cuba Allen,1
119,Warren Jackman,1
120,Penelope Monroe,2
121,Liza Bergman,2
122,Salma Nolte,1
123,Julianne Dench,2
124,Scarlett Bening,1
125,Albert Nolte,1
126,Frances Tomei,2
127,Kevin Garland,1
128,Cate Mcqueen,2
129,Daryl Crawford,1
130,Greta Keitel,2
131,Jane Jackman,2
132,Adam Hopper,2
133,Richard Penn,1
134,Gene Hopkins,2
135,Rita Reynolds,2
136,Ed Mansfield,1
137,Morgan Williams,1
138,Lucille Dee,1
139,Ewan Gooding,1
140,Whoopi Hurt,1
141,Cate Harris,2
142,Jada Ryder,2
143,River Dean,1
144,Angela Witherspoon,2
145,Kim Allen,2
146,Albert Johansson,2
147,Fay Winslet,2
148,Emily Dee,2
149,Russell Temple,2
150,Jayne Nolte,1
151,Geoffrey Heston,2
152,Ben Harris,2
153,Minnie Kilmer,2
154,Meryl Gibson,2
155,Ian Tandy,1
156,Fay Wood,2
157,Greta Malden,2
158,Vivien Basinger,2
159,Laura Brody,2
160,Chris Depp,2
161,Harvey Hope,1
162,Oprah Kilmer,1
163,Christopher West,1
164,Humphrey Willis,1
165,Al Garland,1
166,Nick Degeneres,1
167,Laurence Bullock,1
168,Will Wilson,1
169,Kenneth Hoffman,2
170,Mena Hopper,2
171,Olympia Pfeiffer,1
172,Groucho Williams,2
173,Alan Dreyfuss,1
174,Michael Bening,2
175,William Hackman,2
176,Jon Chase,2
177,Gene Mckellen,2
178,Lisa Monroe,2
179,Ed Guiness,2
180,Jeff Silverstone,1
181,Matthew Carrey,2
182,Debbie Akroyd,2
183,Russell Close,2
184,Humphrey Garland,2
185,Michael Bolger,2
186,Julia Zellweger,2
187,Renee Ball,1
188,Rock Dukakis,1
189,Cuba Birch,1
190,Audrey Bailey,2
191,Gregory Gooding,2
192,John Suvari,1
193,Burt Temple,2
194,Meryl Allen,2
195,Jayne Silverstone,1
196,Bela Walken,1
197,Reese West,2
198,Mary Keitel,1
199,Julia Fawcett,2
200,Thora Temple,2
